2024.03.06 03:25:32 PM INFO | BattleDice | 34 | <module> | info message
2024.03.06 03:25:32 PM WARNING | BattleDice | 35 | <module> | warn message
2024.03.06 03:25:32 PM ERROR | BattleDice | 36 | <module> | error message
2024.03.06 03:25:32 PM CRITICAL | BattleDice | 37 | <module> | critical message
2024.03.06 03:25:32 PM INFO | BattleDice | 181 | play | Function play() started successfully
2024.03.06 03:25:32 PM INFO | BattleDice | 195 | roll | Function roll() called successfully
2024.03.06 03:25:48 PM INFO | BattleDice | 211 | roll | Function make_choice() being called from roll() - roll1
2024.03.06 03:25:48 PM INFO | BattleDice | 234 | make_choice | Function make_choice() called successfully
2024.03.06 03:25:58 PM INFO | BattleDice | 286 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 03:25:58 PM INFO | BattleDice | 299 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 03:25:58 PM INFO | BattleDice | 303 | complete_reroll | Function roll() being called from complete_reroll()
2024.03.06 03:25:58 PM INFO | BattleDice | 195 | roll | Function roll() called successfully
2024.03.06 03:25:58 PM INFO | BattleDice | 183 | play | Function roll() being called from play()
2024.03.06 10:41:42 PM INFO | __name__ | 162 | play | New game started.
2024.03.06 10:41:42 PM INFO | __name__ | 180 | firstRoll | Function roll() called successfully
2024.03.06 10:41:48 PM INFO | __name__ | 164 | play | Function firstRoll() being called from play()
2024.03.06 10:45:17 PM INFO | __name__ | 162 | play | New game started.
2024.03.06 10:45:17 PM INFO | __name__ | 180 | firstRoll | Function roll() called successfully
2024.03.06 10:45:21 PM INFO | __name__ | 196 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.06 10:45:21 PM INFO | __name__ | 230 | make_choice | Function make_choice() called successfully
2024.03.06 10:45:33 PM INFO | __name__ | 282 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 10:45:33 PM INFO | __name__ | 295 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 10:45:33 PM INFO | __name__ | 299 | complete_reroll | Function roll() being called from complete_reroll()
2024.03.06 10:45:33 PM INFO | __name__ | 200 | secondRoll | Function secondRoll() called successfully
2024.03.06 10:45:41 PM INFO | __name__ | 209 | secondRoll | Function make_choice() being called from secondRoll() - roll2
2024.03.06 10:45:41 PM INFO | __name__ | 230 | make_choice | Function make_choice() called successfully
2024.03.06 10:45:59 PM INFO | __name__ | 282 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 10:45:59 PM INFO | __name__ | 295 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 10:45:59 PM INFO | __name__ | 299 | complete_reroll | Function roll() being called from complete_reroll()
2024.03.06 10:45:59 PM INFO | __name__ | 200 | secondRoll | Function secondRoll() called successfully
2024.03.06 10:46:14 PM INFO | __name__ | 205 | secondRoll | Function make_choice() being called from secondRoll() - roll2
2024.03.06 10:47:24 PM INFO | __name__ | 162 | play | New game started.
2024.03.06 10:47:24 PM INFO | __name__ | 180 | firstRoll | Function roll() called successfully
2024.03.06 10:48:02 PM INFO | __name__ | 196 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.06 10:48:02 PM INFO | __name__ | 230 | make_choice | Function make_choice() called successfully
2024.03.06 10:48:17 PM INFO | __name__ | 282 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 10:48:17 PM INFO | __name__ | 295 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 10:48:17 PM INFO | __name__ | 299 | complete_reroll | Function roll() being called from complete_reroll()
2024.03.06 10:48:17 PM INFO | __name__ | 200 | secondRoll | Function secondRoll() called successfully
2024.03.06 10:48:24 PM INFO | __name__ | 209 | secondRoll | Function make_choice() being called from secondRoll() - roll2
2024.03.06 10:48:24 PM INFO | __name__ | 230 | make_choice | Function make_choice() called successfully
2024.03.06 10:48:45 PM INFO | __name__ | 282 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 10:48:45 PM INFO | __name__ | 295 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 10:48:45 PM INFO | __name__ | 299 | complete_reroll | Function roll() being called from complete_reroll()
2024.03.06 10:48:45 PM INFO | __name__ | 200 | secondRoll | Function secondRoll() called successfully
2024.03.06 10:48:51 PM INFO | __name__ | 209 | secondRoll | Function make_choice() being called from secondRoll() - roll2
2024.03.06 10:48:51 PM INFO | __name__ | 230 | make_choice | Function make_choice() called successfully
2024.03.06 10:49:13 PM INFO | __name__ | 282 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 10:49:13 PM INFO | __name__ | 295 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 10:49:13 PM INFO | __name__ | 304 | complete_reroll | Function score() being called from complete_reroll()
2024.03.06 10:49:13 PM INFO | __name__ | 304 | complete_reroll | Function score() being called from complete_reroll()
2024.03.06 10:49:13 PM INFO | __name__ | 304 | complete_reroll | Function score() being called from complete_reroll()
2024.03.06 10:49:13 PM INFO | __name__ | 164 | play | Function firstRoll() being called from play()
2024.03.06 10:58:21 PM INFO | __name__ | 162 | play | New game started.
2024.03.06 10:58:21 PM INFO | __name__ | 180 | firstRoll | Function roll() called successfully
2024.03.06 10:58:30 PM INFO | __name__ | 196 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.06 10:58:30 PM INFO | __name__ | 230 | make_choice | Function make_choice() called successfully
2024.03.06 10:58:51 PM INFO | __name__ | 282 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 10:58:51 PM INFO | __name__ | 295 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 10:58:51 PM INFO | __name__ | 300 | complete_reroll | Function SecondRoll() being called from complete_reroll()
2024.03.06 10:58:51 PM INFO | __name__ | 200 | secondRoll | Function secondRoll() called successfully
2024.03.06 10:58:59 PM INFO | __name__ | 209 | secondRoll | Function make_choice() being called from secondRoll() - roll2
2024.03.06 10:58:59 PM INFO | __name__ | 230 | make_choice | Function make_choice() called successfully
2024.03.06 10:59:08 PM INFO | __name__ | 282 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 10:59:08 PM INFO | __name__ | 295 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 10:59:08 PM INFO | __name__ | 306 | complete_reroll | Function lastRoll() being called from complete_reroll()
2024.03.06 10:59:08 PM INFO | __name__ | 311 | complete_reroll | Function score_test() being called from complete_reroll()
2024.03.06 11:00:17 PM INFO | __name__ | 162 | play | New game started.
2024.03.06 11:00:17 PM INFO | __name__ | 180 | firstRoll | Function roll() called successfully
2024.03.06 11:00:23 PM INFO | __name__ | 196 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.06 11:00:23 PM INFO | __name__ | 230 | make_choice | Function make_choice() called successfully
2024.03.06 11:00:36 PM INFO | __name__ | 282 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 11:00:36 PM INFO | __name__ | 295 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 11:00:36 PM INFO | __name__ | 300 | complete_reroll | Function SecondRoll() being called from complete_reroll()
2024.03.06 11:00:36 PM INFO | __name__ | 200 | secondRoll | Function secondRoll() called successfully
2024.03.06 11:00:44 PM INFO | __name__ | 209 | secondRoll | Function make_choice() being called from secondRoll() - roll2
2024.03.06 11:00:44 PM INFO | __name__ | 230 | make_choice | Function make_choice() called successfully
2024.03.06 11:00:54 PM INFO | __name__ | 282 | complete_reroll | Function complete_reroll() called successfully
2024.03.06 11:00:54 PM INFO | __name__ | 295 | complete_reroll | Function roll() called from complete_reroll()
2024.03.06 11:00:54 PM INFO | __name__ | 306 | complete_reroll | Function lastRoll() being called from complete_reroll()
2024.03.06 11:00:54 PM INFO | __name__ | 311 | complete_reroll | Function score_test() being called from complete_reroll()
2024.03.06 11:00:54 PM INFO | __name__ | 311 | complete_reroll | Function score_test() being called from complete_reroll()
2024.03.06 11:00:54 PM INFO | __name__ | 164 | play | Function firstRoll() being called from play()
2024.03.06 11:50:04 PM INFO | __name__ | 162 | play | New game started.
2024.03.06 11:50:04 PM INFO | __name__ | 180 | firstRoll | Function roll() called successfully
2024.03.06 11:50:12 PM INFO | __name__ | 196 | firstRoll | Function make_choice() being called from roll() - roll1
